10147850	好想你	1701543.71	118
10839373	Hello Kitty	1693928.3	7
10918621	Bobdog/巴布豆	1676868.97	258
10197894	泸州老窖	1662725	26
10889392	花西子	1661460.67	10
10772805	JUZUI/玖姿	1597829	132
10791124	Boitown/冰希黎	1592738.82	12
12656624	CHAMPION/冠军	1592316.93	38
10306191	汾阳王	1581998.1	11
10005478	君乐宝	1530113.2	24
10848205	酒鬼	1522175	3
10549870	Tatai/他她爱	1506975	2
10941006	佳胜达/JSD	1495337	3
10118639	Septwolves/七匹狼	1479884.2	49
10718135	小迷糊	1476103.9	17
10786321	汾酒	1462996	22
10913845	MLB	1450416.37	158
10638452	SEAMILD/西麦	1448631.3	17
10302959	VAQUA/活泉	1443340.17	7
10541261	Dior/迪奥	1421207.76	92
10406842	PLAYBOY/花花公子	1405181.12	51
10192593	COGI/高姿	1368316.15	51
10887266	蓝月亮	1358847.08	26
10485822	西凤	1355794.94	35
10566280	安记	1352687.09	20
10480916	欧佩	1342854.83	110
10334760	Mark Fairwhale/马克华菲	1328850	45
10324306	YSL/圣罗兰	1255952.41	127
10558168	剑南春	1252564	6
10337200	SUNSSHEN/圣蜜莱雅	1239564.75	28
10930072	金锣	1233374.92	131
10294724	花皙蔻	1232546	11
10767648	Fotile/方太	1207850	3
10552768	RIBeCS/伊贝诗	1203691.7	4
10705574	小牛凯西	1180065.7	8
10940873	梦诺	1161587.39	8
10280732	B.Duck	1146874.14	157
10926795	健美创研	1121094.46	31
10120573	BEDDYBEAR/杯具熊	1113060.62	44
10555233	青花郎	1104619	3
10840855	御泥坊	1103827.85	35
10702653	恒源祥	1084669.93	13
10695350	Pierre Cardin/皮尔卡丹	1084349.42	68
10697178	冰菊	1078674.47	9
10445081	芭诺斯	1077496.5	11
10767190	Paul Frank/大嘴猴	1071347.53	92
10651454	TCL	1067278.5	14
10921456	浏阳河	1058758.84	6
10008023	稻香私房	1016242.5	4
10140654	海底捞	1014341.68	57
10654372	可比克	997576.44	36
10670641	认养一头牛	975244.4	11
10936920	Armani/阿玛尼	965075.25	58
10766967	Gucci/古驰	964175.07	88
10869390	tonlion/唐狮	957538	72
10839802	Vatti/华帝	953906.92	12
10700449	立白	952910	22
10512642	JEEP/吉普	929677.77	31
11020696	MELLESH/益若翼	928736.33	19
10627664	梦希蓝	912869.15	85
