10276349	Aekyung/爱敬	美妆个护	 29,714,285
10348532	Biore/碧柔	美妆个护	 25,490,293
10718135	小迷糊	美妆个护	 30,402,944
10852446	origins/悦木之源	美妆个护	 27,253,616
10552584	Elixir/怡丽丝尔	美妆个护	 35,587,523
10341714	Bvlgari/宝格丽	美妆个护	 20,322,220
10281406	papa recipe	美妆个护	 24,480,489
10547909	MAKE UP FOR EVER/玫珂菲	美妆个护	 26,748,331
10918504	MARIE DALGAR/玛丽黛佳	美妆个护	 25,827,620
10540193	Ponds/旁氏	美妆个护	 27,644,583
10791124	Boitown/冰希黎	美妆个护	 21,235,122
10766967	Gucci/古驰	轻工制造	 49,656,313
10881011	ISDIN/怡思丁	美妆个护	 21,020,633
10713284	Hanhoo/韩后	美妆个护	 19,339,772
10479908	GOODWAY/谷雨	美妆个护	 26,013,322
10721343	OralB/欧乐B	家用电器	 83,235,657
10085053	PRAMY/柏瑞美	美妆个护	 19,437,748
10946844	MedRepair	美妆个护	 21,358,767
10697785	FANCL	美妆个护	 19,721,766
10025964	cemoy	美妆个护	 22,488,119
10157092	Three Squirrels/三只松鼠	其他行业	 31,689,820
10036187	伊利	食品饮料	 709,680,773
10653804	BE＆CHEERY/百草味	其他行业	 40,816,871
10424614	良品铺子	其他行业	 29,249,185
10412504	Moutai/茅台	食品饮料	 615,933,734
10081818	蒙牛	食品饮料	 530,763,795
10702337	五粮液	食品饮料	 524,047,365
10338034	BY－HEALTH/汤臣倍健	食品饮料	 265,209,093
10915550	Friso/美素佳儿	食品饮料	 191,996,165
10064028	农夫山泉	食品饮料	 174,177,793
10005478	君乐宝	食品饮料	 146,443,049
10867570	福临门	食品饮料	 196,647,356
10582018	康师傅	食品饮料	 119,450,652
10842943	洋河	食品饮料	 198,202,673
10518828	李子柒	食品饮料	 95,348,352
10197894	泸州老窖	食品饮料	 170,051,746
10670641	认养一头牛	食品饮料	 116,675,306
10789079	三元	食品饮料	 98,555,788
10936991	penfolds/奔富	食品饮料	 118,774,583
10055036	大希地	食品饮料	 72,496,611
10221037	统一	食品饮料	 77,478,422
10480807	Vitasoy/维他奶	食品饮料	 72,515,092
10868029	华味亨	食品饮料	 87,745,794
10895078	自嗨锅	食品饮料	 76,095,725
10306271	元気森林	食品饮料	 52,179,562
10710749	好欢螺	食品饮料	 56,045,121
10873234	pp/盼盼	食品饮料	 37,146,819
10796250	周黑鸭	食品饮料	 63,270,552
10323999	王饱饱	食品饮料	 48,618,926
10812669	豆本豆	食品饮料	 57,492,807
10291509	ChaCheer/洽洽	食品饮料	 64,213,337
10133261	白家（白家、阿宽、川香厨房）	食品饮料	 45,391,584
10282492	五谷磨房	食品饮料	 53,899,267
10558168	剑南春	食品饮料	 69,700,846
10783015	The land/纽仕兰	食品饮料	 44,094,221
10147850	好想你	食品饮料	 52,017,940
10726126	Lay’s/乐事	食品饮料	 44,925,758
